Date,Time,User1,User2,Message,SubLabel,CBLabel
21.4.2021,19:29:49,194,89,The last few days I have been working in this article. I think it is now optimal. Could you take a close look at it and rephrase where necessary.,2,0
21.4.2019,17:26:36,139,109,Just another white supremacist dog. 'nuff said.  Only a motherfucker shoots prisoners.  ,1,0
24.9.2021,13:34:32,175,125, Support. Same reason as. ,2,0
14.9.2019,8:02:03,128,182,ANOUNCEMENT     I AM MAD AT THE PEOPLE WHO BAN ME FOR THINGS I DONT DO SO ALL MEXICANS AND   BLACK PEOPLE ARE SHIT HEADS AND IM IN THE KKK FUCK HEADS1`,1,0
28.8.2020,5:59:52,129,94,Whether we keep the Image or not; it reflects poorly on Wikipedia to have a single sentence as the intro and two paragraphs about the MSNBC incident. The incident is worth a brief mention; but it is disappointing that it makes up the bulk of this article. ,2,0
22.11.2019,6:23:11,200,146,Arrghh...im sick of these stupid blocks i.p blocks!,1,0
14.12.2022,18:27:54,23,82,Text isn’t it time to add the lyrics/text/librettos to Wiki?,2,0
23.7.2022,10:02:17,4,44,fuck you.   you cant block me. i change mi ip every 5 sec.,1,0
14.5.2020,23:04:48,59,152,COTWWonder if youd consider voting for Indian reservation as WikipediaCollaboration of the week? Without two more votes it will  be elI aminated only days away from winning ,2,0
5.8.2022,25:30:11,65,184,Fuck You JohnLaTex   Who are you??,1,0
7.1.2022,8:31:37,183,97,Original research??I don’t see here any academic references discussed to substantiate the term usage. If they will not appear in 12 days; I am afraid the article is for VFD than for COTW. ,2,0
22.2.2019,18:57:38,1,76,Stop being an asshole and suggesting unwarranted punishments.  I have made positive contributions to wikipedia.,1,0
25.4.2020,16:21:21,146,163,No worries apology accepted. What a welcome to Wiki! I’ll see what I can do. I am still in the stage of Wow; they’ve really done this Thanks for your offer of help and advice. Can’t think of anything right now but will keep you posted. ,2,0
4.10.2019,13:55:07,125,124,how bout   you go fuck yourself,1,0
16.4.2022,7:36:55,196,163,Quite so. There are several proportional voting systems for resolving this unreasonable contest of will s. And at a later date when we all have more time; we can work on a solution to this obvious problem.  ,2,0
21.3.2020,20:56:25,15,138,i wanna fuck you   fuck u fuck u fuck u,1,0
5.12.2021,22:30:48,152,146,Copyright violations Hi! I found that some of your contributions to Wikipedia have been copyright violations. Please make sure you read the contributors obligations page before copying material from other sources. ,2,0
10.3.2021,17:30:01,12,17,this subject ponders my imagination   i say FUCK IT! FUCK SPLITTING THIS FUCKEDY ARTICLE. we'eve already fucked up this article and we do not need to fuck it anymore. please save any more fuck from happening.  sincerely; a little fucker,1,0
2.5.2019,16:50:10,11,173,Hmm I remember the reason for the Magellan’s visit differently. Then again; I may just have been confused by the Short Story version ,2,0
23.12.2020,12:10:58,73,13,could you quit being such a huge fucking loose butthole you stupid cunt. ,1,0
22.3.2019,8:02:41,81,71,We should not include House of Lords since they are not related to the election of course there could be a separate page for them anyway. ,2,0
12.8.2019,23:39:50,33,53,where are my insults? heres an insult for you ; you're a fucking blind dipshit. you need to stop being a sensitive cunt. hows that for an insult? ,1,0
21.7.2021,12:55:16,99,9,If we put a definite article in one article; logically we have to put it in hundreds and hundreds of other articles The Republican Party; The Australian Labor Party; The Church of England; which serves no good purpose and makes it harder for readers to find articles with the search device try it and see. It should be a rule that article titles do not include the definite article; unless it is part of the title of a cultural product such as a newspaper The Scotsman or a book The Grapes of Wrath. ,2,0
2.8.2021,22:28:20,110,28,Lil Faggit    You are a little bitch. I fuckin spent 6 hours on big sam (rapper) an you call it fuckin vandolism; hard ass aint you; fuck you i'm makin a true ass page an you wack off an delete my page. ,1,0
14.7.2019,14:18:30,12,111,Society is capable of suppressing genetically based tendencies; but when it comes to war; most cultures actually fuel the flames. ,2,0
8.4.2019,11:34:20,197,8,I think we should add some tags and get rid of some of the crap.,1,0
3.7.2021,19:50:00,173,119,The mental ability of humans and their intelligence make them; according to Pascal; the saddest creatures of all animals. The ability to have feelings; such as sadness or happiness; distinguish them from the other organisms; even if this assertion can be hardly proved with animal tests. ,2,0
2.11.2022,21:30:38,177,48,Horseshit; I didn't vandalize that page. Any idiot could see that wasn't vandalism. WIKIPEDIA IS A FUCKING JOKE!  ,1,0
16.9.2020,1:52:20,20,117,Physical chemists very nicely bridge this they put quite a bit of energetics while still caring deeply about the identity of that which is being studied. While the duality may sound a bit contrived; there is definitely some truth to the statements; and while not perfect; it’s more meaningful than what is there now.,2,0
24.8.2019,14:14:53,53,111,IGNORANT FOOL...YOU'VE NEVER EVEN SEEN A MAP OF KRASNOI  You are so stupid and ignorant that you donate even know which roads lead into or out of Krasnoi.  The road leading west out of Krasnoi was never blocked by the Russiansit was threatened by Tormasos enveloping movement but never actually blocked.  Your ignorance is disgusting absolutely sickening...  Dumb freshman with low SAT's...that's what you are...   kenmore  ,1,0
19.2.2021,25:04:19,76,59,Thanks. Anyway; the answer is yes. ,2,0
19.8.2022,10:21:06,145,182,BRIDGER IS THE MOTHER FUCKING SHIIIIIIIIIIIT. NIGGA!      ,1,0
17.10.2019,3:03:27,74,115,Man i was so sad that it ended at volume 23; but i picked up go which is a super cool game,2,0
19.6.2022,21:10:37,65,64,Suck my balls! ,1,0
1.4.2020,15:33:56,65,12,Our articles on Tone linguistics; Pitch accent; and melodic accent don’t quite agree with each other. Looking on the web; it seems that in the common usage; tonal accent and pitch accent are used interchangably; see Dictionary.com. Under that definition; I think BCS has a tone accent; as in Gore gore gore gore Up there woods burn worse. ,2,0
24.3.2020,1:02:25,126,75,YOU SUCK   YOU SUCK; CANADIAN BACON; YOU SCUMMY HOCKEY PLAYING; BIG NOSED; 'DONT YA KNOW' SAYIN FAG,1,0
30.11.2021,9:38:59,63,61,Szczecin isn’t consensual so far as native English speakers are concerned it’s inconsistent with the Wikipedia naming convention to use the normal English form. For this place; that accepted English name is Stettin. It’s a shame that at least some native Polish speakers dislike the English word. That doesn’t change what the normal English usage is. ,2,0
5.1.2020,25:12:23,52,179,Fuck you Pavel Vozenilek you fag.  ,1,0
24.5.2020,10:56:43,118,114,Pictured NeededWhat do these people look like? There should be a picture.,2,0
1.2.2022,1:47:51,157,196,OH SHIT I'M GONNA GET BANNED NOW I SHOULD NOT MENTION I AM EURO NONYMOUS WHO WAS LOVD UNTIL LOW TAX SAID HE SUCKED THEN HE WAS HATED,1,0
25.3.2019,23:31:35,80,63,Hi Peta can you review my edit on Blaise Compeer. ,2,0
21.8.2019,14:28:25,93,199,This whole article totally sucks. It's a disgrace. These morons talk about Emeril live being canceled before even mentioning what it is. Wikipedia is a damn joke......    ,1,0
1.12.2022,4:20:30,2,18,Thanks for pointing that out Camembert. I didn’t really check the history all that way back. I just had a look at their site again; and found that our first version of Thomas Linacre is the same as theirs; and this was from the 1911 Encyclopedia Britannica; which they don’t mention on their site; so it does look like they might be copying other things from us too. ,2,0
17.2.2022,13:23:07,70,90,Trollop   Go and fuck the same cross you fucked up faggot ! And while you ar eat it; chop your dick off youhave no use for  it.,1,0
25.3.2020,10:47:03,80,12,Are you there?,2,0
3.6.2021,3:26:38,54,120,WEENIE   pecker  fuckstick!   dnjqo dqwelj,1,0
5.2.2020,2:45:42,199,17,Diffie Hellman key exchange. There isn’t any word about Diffie Hellman key exchange algorithm in history section of articles Public key cryptography and Asymmetric key algorithm; I think it is the first public asymmetric key cryptography algorithm. Am I right? ,2,0
15.3.2020,14:10:36,22,4,WHY THE FUCK DID YOU DELETE MY PAGE YOU FUCKING STUCK UP SNOBBISH PAEDOPHILE TWATS!,1,0
26.2.2021,8:23:03,126,125,P.S. Please put new comments at the bottom of the talk article.,2,0
21.9.2022,13:46:20,179,175,hey you know what fuck this; it takes to goddam long to do a good artical. ,1,0
4.10.2020,7:11:06,169,49,Now I’ve built a disambiguation page. ,2,0
26.5.2020,10:29:28,123,54,YOU ARE A FAGGOT GET A LIFE   ,1,0
29.1.2019,13:55:18,98,115,It would appear a section discussing similarities/patrimony w utilitarianism would be warranted. Spade,2,0
21.11.2020,13:53:05,72,124,Hi gaybo   Hi your mgay i hater you your a girl and your stupid ill give you a virus. Shutdown?  Trojan horse be  Slicker u stink       ,1,0
3.10.2019,4:08:45,85,7,There were no book stub tags since I just created all those articles today.,2,0
30.11.2020,3:24:55,14,94,FUCK YOU; MEDIA PIECE OF SHIT! ,1,0
30.7.2020,21:34:35,57,178,According to the latest DSMIVTR social anxiety disorder is now only called Social Phobia. That’s the official name governed by psychiatrists and psychologists. Should we think of reverting the name to the official title?  ,2,0
26.8.2022,1:00:36,16,193,Hey; CambridgeBayWeather; quit being suck a fucking homo and get a fucking life instead of just sitting around and making sure nobody fucks with wikipedia. Fuck you; and quit editing MY page you fucking homo motherfucker.  ,1,1
18.6.2020,21:27:03,26,139,a concept not a condition atheism is a concept; not a condition; by saying condition you make it seem like it’s something bad and horrible; like a concussion; atheism is a concept; a concept is a type of belief,2,0
8.4.2019,4:52:55,186,29,wow well who do you think you are you cuntsy; like a prick fuck off your mums a dirty swag you shite eyed  stupid nonce,1,0
13.9.2020,4:55:29,137,51,Any surviving descendants of the Jobsites; who the Israelites displaced in antiquity? Far too much of the globe is claimed by multiple groups for what it should be called to work as a naming policy.,2,0
21.1.2021,19:55:31,106,195,banned by a drunken 5 year old ugly 5 year old mongol,1,0
11.5.2021,8:49:19,125,72,THE LATEST this is CUMBEY. I see the good grammar; good punctuation Billy Weiss entered this space as Squeak box and corrected the grammar and typos of David the alleged Wiki Global Elite Sys Op. He has also continued to wreak havoc on that website which is independent of Wikimedia. He might as well know that I have plans to publish columns on various popular websites independent of either about these antics and tactics. Squeak Box/Billy Weiss/Richard Weiss/David; BEWARE THE IDES OF MARCH!,2,0
18.5.2022,23:01:02,151,160,fuck off mifter   that was a great edit it was about icecream  ,1,0
28.8.2020,10:04:42,85,52,The public perception of new religious movements should be mentioned even though this public perception is sometimes completely baseless. If the public perception is baseless then it should still be mentioned and debunked in Wikipedia. I have to think about the renaming thing. ,2,0
4.2.2022,11:03:58,151,177,Stop screwing with my edits; copyright is for fools!,1,0
30.3.2022,13:13:23,71,115,And HI! Has Requested Arbitration with me Wikipedia Requests for arbitration/Trey Stone and Daven belle Wikipedia Requests for arbitration/Trey Stone and Daven belle/Evidence you are mentioned in evidence that I have presented and I am bringing this to your attention. Comments and evidence of your own are welcome. Sincerely; ,2,0
4.6.2019,22:07:16,49,96,IT WAS MY OWN FUCKING PAGE  CAN ONE EDIT THEIR OWN PAGE??????????????????? ,1,0
26.3.2022,9:25:45,3,4,2004 UTC I do not agree; for I’llustratI’ve purposes it is best to have a representatI’ve Image that is large and clear enough to identify the anatomy. However such a montage would be good to serve the secondary purpose of showing variations; if such a montage could be assembled; giventhe difficulty of finding copylefted photos.0456; 15 Nov,2,0
23.7.2021,16:09:59,36,76,on my own talk page without leaving there fucking username needs to come and suck my dick becuse i realy think they should at least be able to back there shit up.,1,0
29.12.2020,3:24:15,5,188,The ones who previously changed nationality to British and added other information 23 Sept 2004,2,0
29.3.2019,1:04:00,113,46,I did it on your page too you fucktard.  Get a life cocksucker.,1,0
29.10.2019,16:32:13,174,95,Next I’ll have every other special interest group pleading the case for its own favorite religious leader; and telling me to fix up Jesus first before picking on them. Respectfully,2,0
22.5.2020,24:11:34,115,116,i think this som bitch is fuckin nuts...i mean who the fuck cares....does this info help the yankees win the pennant? no.  does it help me pay child support for my 14 kids all of different racial decent? no....in short FUCK THIS,1,0
28.5.2022,11:52:24,34,26,It is not our place to judge the merits of the various arguments. It is only our place to report them. As for the resulting article being a mess; please check out the beta before making any judgements. ,2,0
24.11.2019,11:57:46,134,69,Is there any interest in a WikipediaWikiProjectWikiProjecton Catholicism? I am particularly interested in just creating a project that organizes the dioceses listed on this page better? ,2,0
13.12.2022,16:05:25,106,150,Go fuck yourself Gavin! Go fuck yourself Ryan I bet you double teamed her before you blew into each other's mouths!,1,0
1.7.2019,6:20:29,145,126,I looked at some of the government web sites that I have been using for info and this is what I found from US embassy. State.gov. The federal government of the United States consists of three parts the executive; legislative and judicial branches. The; from www.info.govDescribes the basis of the government of the US Federal; State; and local governments are explained and compared. Those sites make a distinction between the governments of the United States being all three versus the federal government being just well; the federal government. BTW In the Politics section; you’ll find a general description of the state and local governments; again taken from the usinfo.state.gov site.  ,2,0
15.12.2020,8:57:17,1,181,SineButt  I hate you so much.,1,0
18.3.2021,9:56:25,11,54,In fact; much of it including the entire southern Negev was virtually unpopulated. Overall; the map creates the Impression that Palestine was an Arab land; with a tiny scattered Jewish community. In fact; as the text of the article states; the population was approximately 1/3 Jewish. ,2,0
23.12.2019,6:07:59,44,103,Also; I said UNLESS you suck. ,1,0
4.5.2021,6:07:50,135,157,Could you check that; in correcting the English of your addition; I’ve not misunderstood your meaning? ,2,0
4.10.2022,25:16:24,147,133,UNLIKE THE ANCIENT GREEKS; THE IDIOT WHO BLOCKED ME IS A MONGREL CREATED BY INTERBREEDING WITH THE TURKS. JUST ANOTHER GREEK FOOL WHO DOESN'T KNOW SHIT.   ,1,0
20.3.2021,20:13:33,162,24,UTC The V comes from Aviation cf. AVB Aviation Logistics Support Ship 0221; 21 Jan 2005,2,0
13.12.2022,24:26:14,139,198,HOW ABOUT A LITTLE FIRE; NATE!  (Throws fireballs at nate!) I STOLE WIKIPEDIA! I STOLE WIKIPEDIA! FUCK WIKIPEDIA! FUCK!,1,0
19.10.2022,20:17:17,17,77,Janice Rogers Brown Thanks for your contributions to the article. I think it’s Important to get a good start on everyone on Bush’s potential nominee list; as these pages will  all get very hectic when Rehnquist actually shuffles off his mortal coil.,2,0
11.4.2021,18:09:06,57,151,My advice next time you fuck her; donkey punch her so hard she dies. It's a good way to cleanse the gene pool a bit; know what I mean?  Oh; and SNOPAKE LIEKZ TEH PEDO-RAEP! Ha.,1,0
21.1.2019,5:42:31,7,193,By giving priority to the States we could type less and have fewer links to fix in those articles made by visitors; newbies or people not familiar with the country most wikipedants. If someone says that Jos Vasconcelos was born in Oaxaca but links to the state instead of the city; s/he is still OK; not as precise as s/he intended to be; but s/he’s still correct. ,2,0
21.9.2021,9:29:29,185,28,ElinorD is a faggot and a transexual; judging by the name,1,0
6.9.2019,19:44:27,168,147,The point is that it’s not a single; uniform feature and should therefore not be summarized in one single term. It’s just a nonlinguistic definition that actually means something completely different in musical and psychological? ,2,0
13.12.2021,22:01:50,187,188,ORLY? Fuck You Again n00b,1,0
10.3.2019,2:39:56,7,116,Moving pages Please be sure to fix the double redirects for pages you move. This has not been done for Virgin Atlantic Global Flyer. Cheers; ,2,0
21.4.2020,23:48:07,186,97,hey bu-uuuuuddy  you really suck a lot of dick  ,1,0
26.5.2020,2:06:35,50,118,It’s been discussed at the top of this talk page. ,2,0
7.3.2022,10:01:05,171,115,YOU DIRTY LOOSER LISTEN UP AND LISTEN ONLY ONCE; GET IN TOUCH WITH OTHER ADMINISTRATOR ZOE... ,1,0
9.2.2021,4:41:55,4,170,What is the molecular structure of pyrophosphate anion P2O72?,2,0
22.5.2022,19:47:07,82,157,HE HAS INFO I WANT U TO KNOW. FEEL FREE TO BLOCK THIS YOU SON OF A BITCH; I AM ABOUT TO LAUNCH A WAR AGAINST YOU IN HUGE PROPORTIONS; NONE OF YOUR BUT IF PUBLIC OPINION BRINGS POV TO A NORM; IS IT STILL POV; YOU ASSHOLE?,1,0
20.6.2021,15:49:02,103,13,There was another president toppled in Ecuador. Gutierrez took part in the coup of 2000 and became president in 2003.,2,0
27.7.2022,15:52:57,91,3,Your just a stupid red neck and you make no sense; to us much smarter yankees!,1,0
3.7.2021,9:20:59,172,3,NPOV does not mean remove relevant facts.,2,0
30.4.2019,25:32:39,86,197,You're an asshole.  Seriously.  I've been  here for three years.  I know edit summaries are encouraged.  But I've  never heard that it is encouraged that we revert articles simply because no edit summary is provided.  That's ridiculous.   ,1,0
15.6.2021,23:56:42,47,45,Ash; no. No; I haven’t. Note this links to my NEW account,2,0
20.9.2019,12:34:41,127,199,Thanks for your help!   But you're still a cunt!  ,1,0
29.9.2020,12:11:17,111,189,I will firstly point out that most theories have values other than the capacity to predict the outcome of experiments. Had relativity been formulated only after all its Implications had been verified; it would still be used widely; but for such practical uses as technology development and simulation. ,2,0
4.1.2019,20:39:51,70,63,who deleted the fucking spoiler warnings   who the hell deleted them?   ,1,0
8.8.2021,18:48:18,41,176,To me; the SIs dismissal of Black Mask seems like an ideal example of rigor but I suspect wed disagree about a lot. I’ll boil the general argument down to the point that the intended mission of Wikipedia is producing a neutral summary of generally agreed facts about historically significant actors; in this case the SI. ,2,0
28.2.2019,5:00:51,15,27,Hey Know it all Jerk!   Just because you can edit other pages doesn't mean you should just to tell people what you like. I do not give a FLAMING FUCK IF YOU LIKE CHEESE NIPS SO STOP POSTING !,1,0
